PC  Teal                                                               Stack
1
10
13  byte ""                                                            0x
14  callsub test_self_ref_phi                                          0x
131 proto 0 1                                                          0x
160 bnz test_self_ref_phi_after_if_else@6                              0x, 19
166 frame_dig 0                                                        0x, 19, 19
168 int 1                                                              0x, 19, 19, 1
169 +                                                                  0x, 19, 20
170 frame_bury 0                                                       0x, 20
172 b test_self_ref_phi_while_top@1                                    0x, 20
135 frame_dig 0                                                        0x, 20, 20
137 int 100                                                            0x, 20, 20, 100
138 <                                                                  0x, 20, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 20
142 frame_dig 0                                                        0x, 20, 20
144 int 105                                                            0x, 20, 20, 105
146 %                                                                  0x, 20, 20
147 int 0                                                              0x, 20, 20, 0
148 ==                                                                 0x, 20, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 20
155 frame_dig 0                                                        0x, 20, 20
157 int 21                                                             0x, 20, 20, 21
159 %                                                                  0x, 20, 20
160 bnz test_self_ref_phi_after_if_else@6                              0x, 20
166 frame_dig 0                                                        0x, 20, 20
168 int 1                                                              0x, 20, 20, 1
169 +                                                                  0x, 20, 21
170 frame_bury 0                                                       0x, 21
172 b test_self_ref_phi_while_top@1                                    0x, 21
135 frame_dig 0                                                        0x, 21, 21
137 int 100                                                            0x, 21, 21, 100
138 <                                                                  0x, 21, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 21
142 frame_dig 0                                                        0x, 21, 21
144 int 105                                                            0x, 21, 21, 105
146 %                                                                  0x, 21, 21
147 int 0                                                              0x, 21, 21, 0
148 ==                                                                 0x, 21, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 21
155 frame_dig 0                                                        0x, 21, 21
157 int 21                                                             0x, 21, 21, 21
159 %                                                                  0x, 21, 0
160 bnz test_self_ref_phi_after_if_else@6                              0x, 21
163 b test_self_ref_phi_after_while@7                                  0x, 21
175 frame_dig 0                                                        0x, 21, 21
177 swap                                                               0x, 21, 21
178 retsub                                                             0x, 21
17  pop                                                                0x
18  int 1                                                              0x, 1
19  callsub test_swap                                                  0x, 1
179 proto 1 1                                                          0x, 1
182 int 1                                                              0x, 1, 1
183 int 2                                                              0x, 1, 1, 2
184 frame_dig -1                                                       0x, 1, 1, 2, 1
186 int 0                                                              0x, 1, 1, 2, 1, 0
187 >                                                                  0x, 1, 1, 2, 1
188 bz test_swap_after_while@3                                         0x, 1, 1, 2
191 frame_dig 0                                                        0x, 1, 1, 2, 1
193 frame_dig 1                                                        0x, 1, 1, 2, 1, 2
195 frame_bury 0                                                       0x, 1, 2, 2, 1
197 frame_bury 1                                                       0x, 1, 2, 1
199 frame_dig -1                                                       0x, 1, 2, 1, 1
201 int 1                                                              0x, 1, 2, 1, 1, 1
202 -                                                                  0x, 1, 2, 1, 0
203 frame_bury -1                                                      0x, 0, 2, 1
205 b test_swap_while_top@1                                            0x, 0, 2, 1
184 frame_dig -1                                                       0x, 0, 2, 1, 0
186 int 0                                                              0x, 0, 2, 1, 0, 0
187 >                                                                  0x, 0, 2, 1, 0
188 bz test_swap_after_while@3                                         0x, 0, 2, 1
208 retsub                                                             0x, 2
22  dup                                                                0x, 2, 2
23  swap                                                               0x, 2, 2
24  dup                                                                0x, 2, 2, 2
25  itob                                                               0x, 2, 2, 0x0000000000000002
26  log                                                                0x, 2, 2
27  int 1                                                              0x, 2, 2, 1
28  >=                                                                 0x, 2, 1
29  bz main_bool_false@3                                               0x, 2
32  dup                                                                0x, 2, 2
33  int 2                                                              0x, 2, 2, 2
34  <=                                                                 0x, 2, 1
35  bz main_bool_false@3                                               0x, 2
38  int 1                                                              0x, 2, 1
39  b main_bool_merge@4                                                0x, 2, 1
43  assert                                                             0x, 2
44  int 2                                                              0x, 2, 2
45  callsub test_swap                                                  0x, 2, 2
179 proto 1 1                                                          0x, 2, 2
182 int 1                                                              0x, 2, 2, 1
183 int 2                                                              0x, 2, 2, 1, 2
184 frame_dig -1                                                       0x, 2, 2, 1, 2, 2
186 int 0                                                              0x, 2, 2, 1, 2, 2, 0
187 >                                                                  0x, 2, 2, 1, 2, 1
188 bz test_swap_after_while@3                                         0x, 2, 2, 1, 2
191 frame_dig 0                                                        0x, 2, 2, 1, 2, 1
193 frame_dig 1                                                        0x, 2, 2, 1, 2, 1, 2
195 frame_bury 0                                                       0x, 2, 2, 2, 2, 1
197 frame_bury 1                                                       0x, 2, 2, 2, 1
199 frame_dig -1                                                       0x, 2, 2, 2, 1, 2
201 int 1                                                              0x, 2, 2, 2, 1, 2, 1
202 -                                                                  0x, 2, 2, 2, 1, 1
203 frame_bury -1                                                      0x, 2, 1, 2, 1
205 b test_swap_while_top@1                                            0x, 2, 1, 2, 1
184 frame_dig -1                                                       0x, 2, 1, 2, 1, 1
186 int 0                                                              0x, 2, 1, 2, 1, 1, 0
187 >                                                                  0x, 2, 1, 2, 1, 1
188 bz test_swap_after_while@3                                         0x, 2, 1, 2, 1
191 frame_dig 0                                                        0x, 2, 1, 2, 1, 2
193 frame_dig 1                                                        0x, 2, 1, 2, 1, 2, 1
195 frame_bury 0                                                       0x, 2, 1, 1, 1, 2
197 frame_bury 1                                                       0x, 2, 1, 1, 2
199 frame_dig -1                                                       0x, 2, 1, 1, 2, 1
201 int 1                                                              0x, 2, 1, 1, 2, 1, 1
202 -                                                                  0x, 2, 1, 1, 2, 0
203 frame_bury -1                                                      0x, 2, 0, 1, 2
205 b test_swap_while_top@1                                            0x, 2, 0, 1, 2
184 frame_dig -1                                                       0x, 2, 0, 1, 2, 0
186 int 0                                                              0x, 2, 0, 1, 2, 0, 0
187 >                                                                  0x, 2, 0, 1, 2, 0
188 bz test_swap_after_while@3                                         0x, 2, 0, 1, 2
208 retsub                                                             0x, 2, 1
48  dup                                                                0x, 2, 1, 1
49  bury 3                                                             1, 2, 1
51  dup                                                                1, 2, 1, 1
52  itob                                                               1, 2, 1, 0x0000000000000001
53  log                                                                1, 2, 1
54  int 1                                                              1, 2, 1, 1
55  >=                                                                 1, 2, 1
56  bz main_bool_false@7                                               1, 2
59  dig 1                                                              1, 2, 1
61  int 2                                                              1, 2, 1, 2
62  <=                                                                 1, 2, 1
63  bz main_bool_false@7                                               1, 2
66  int 1                                                              1, 2, 1
67  b main_bool_merge@8                                                1, 2, 1
71  assert                                                             1, 2
72  int 7                                                              1, 2, 7
74  int 11                                                             1, 2, 7, 11
76  callsub test_swap_loop                                             1, 2, 7, 11
209 proto 2 1                                                          1, 2, 7, 11
212 int 1                                                              1, 2, 7, 11, 1
213 int 2                                                              1, 2, 7, 11, 1, 2
214 frame_dig -2                                                       1, 2, 7, 11, 1, 2, 7
216 int 0                                                              1, 2, 7, 11, 1, 2, 7, 0
217 >                                                                  1, 2, 7, 11, 1, 2, 1
218 bz test_swap_loop_after_while@6                                    1, 2, 7, 11, 1, 2
221 frame_dig -1                                                       1, 2, 7, 11, 1, 2, 11
223 int 0                                                              1, 2, 7, 11, 1, 2, 11, 0
224 >                                                                  1, 2, 7, 11, 1, 2, 1
225 bz test_swap_loop_after_while@5                                    1, 2, 7, 11, 1, 2
228 frame_dig 0                                                        1, 2, 7, 11, 1, 2, 1
230 frame_dig 1                                                        1, 2, 7, 11, 1, 2, 1, 2
232 frame_bury 0                                                       1, 2, 7, 11, 2, 2, 1
234 frame_bury 1                                                       1, 2, 7, 11, 2, 1
236 frame_dig -1                                                       1, 2, 7, 11, 2, 1, 11
238 int 1                                                              1, 2, 7, 11, 2, 1, 11, 1
239 -                                                                  1, 2, 7, 11, 2, 1, 10
240 frame_bury -1                                                      1, 2, 7, 10, 2, 1
242 b test_swap_loop_while_top@3                                       1, 2, 7, 10, 2, 1
221 frame_dig -1                                                       1, 2, 7, 10, 2, 1, 10
223 int 0                                                              1, 2, 7, 10, 2, 1, 10, 0
224 >                                                                  1, 2, 7, 10, 2, 1, 1
225 bz test_swap_loop_after_while@5                                    1, 2, 7, 10, 2, 1
228 frame_dig 0                                                        1, 2, 7, 10, 2, 1, 2
230 frame_dig 1                                                        1, 2, 7, 10, 2, 1, 2, 1
232 frame_bury 0                                                       1, 2, 7, 10, 1, 1, 2
234 frame_bury 1                                                       1, 2, 7, 10, 1, 2
236 frame_dig -1                                                       1, 2, 7, 10, 1, 2, 10
238 int 1                                                              1, 2, 7, 10, 1, 2, 10, 1
239 -                                                                  1, 2, 7, 10, 1, 2, 9
240 frame_bury -1                                                      1, 2, 7, 9, 1, 2
242 b test_swap_loop_while_top@3                                       1, 2, 7, 9, 1, 2
221 frame_dig -1                                                       1, 2, 7, 9, 1, 2, 9
223 int 0                                                              1, 2, 7, 9, 1, 2, 9, 0
224 >                                                                  1, 2, 7, 9, 1, 2, 1
225 bz test_swap_loop_after_while@5                                    1, 2, 7, 9, 1, 2
228 frame_dig 0                                                        1, 2, 7, 9, 1, 2, 1
230 frame_dig 1                                                        1, 2, 7, 9, 1, 2, 1, 2
232 frame_bury 0                                                       1, 2, 7, 9, 2, 2, 1
234 frame_bury 1                                                       1, 2, 7, 9, 2, 1
236 frame_dig -1                                                       1, 2, 7, 9, 2, 1, 9
238 int 1                                                              1, 2, 7, 9, 2, 1, 9, 1
239 -                                                                  1, 2, 7, 9, 2, 1, 8
240 frame_bury -1                                                      1, 2, 7, 8, 2, 1
242 b test_swap_loop_while_top@3                                       1, 2, 7, 8, 2, 1
221 frame_dig -1                                                       1, 2, 7, 8, 2, 1, 8
223 int 0                                                              1, 2, 7, 8, 2, 1, 8, 0
224 >                                                                  1, 2, 7, 8, 2, 1, 1
225 bz test_swap_loop_after_while@5                                    1, 2, 7, 8, 2, 1
228 frame_dig 0                                                        1, 2, 7, 8, 2, 1, 2
230 frame_dig 1                                                        1, 2, 7, 8, 2, 1, 2, 1
232 frame_bury 0                                                       1, 2, 7, 8, 1, 1, 2
234 frame_bury 1                                                       1, 2, 7, 8, 1, 2
236 frame_dig -1                                                       1, 2, 7, 8, 1, 2, 8
238 int 1                                                              1, 2, 7, 8, 1, 2, 8, 1
239 -                                                                  1, 2, 7, 8, 1, 2, 7
240 frame_bury -1                                                      1, 2, 7, 7, 1, 2
242 b test_swap_loop_while_top@3                                       1, 2, 7, 7, 1, 2
221 frame_dig -1                                                       1, 2, 7, 7, 1, 2, 7
223 int 0                                                              1, 2, 7, 7, 1, 2, 7, 0
224 >                                                                  1, 2, 7, 7, 1, 2, 1
225 bz test_swap_loop_after_while@5                                    1, 2, 7, 7, 1, 2
228 frame_dig 0                                                        1, 2, 7, 7, 1, 2, 1
230 frame_dig 1                                                        1, 2, 7, 7, 1, 2, 1, 2
232 frame_bury 0                                                       1, 2, 7, 7, 2, 2, 1
234 frame_bury 1                                                       1, 2, 7, 7, 2, 1
236 frame_dig -1                                                       1, 2, 7, 7, 2, 1, 7
238 int 1                                                              1, 2, 7, 7, 2, 1, 7, 1
239 -                                                                  1, 2, 7, 7, 2, 1, 6
240 frame_bury -1                                                      1, 2, 7, 6, 2, 1
242 b test_swap_loop_while_top@3                                       1, 2, 7, 6, 2, 1
221 frame_dig -1                                                       1, 2, 7, 6, 2, 1, 6
223 int 0                                                              1, 2, 7, 6, 2, 1, 6, 0
224 >                                                                  1, 2, 7, 6, 2, 1, 1
225 bz test_swap_loop_after_while@5                                    1, 2, 7, 6, 2, 1
228 frame_dig 0                                                        1, 2, 7, 6, 2, 1, 2
230 frame_dig 1                                                        1, 2, 7, 6, 2, 1, 2, 1
232 frame_bury 0                                                       1, 2, 7, 6, 1, 1, 2
234 frame_bury 1                                                       1, 2, 7, 6, 1, 2
236 frame_dig -1                                                       1, 2, 7, 6, 1, 2, 6
238 int 1                                                              1, 2, 7, 6, 1, 2, 6, 1
