PC  Teal                                                            Stack
1
10  byte ""                                                         0x
12  callsub test_self_ref_phi                                       0x
129 proto 0 1                                                       0x
65  b main_bool_merge@8                                             1, 2, 1
69  assert                                                          1, 2
70  int 7                                                           1, 2, 7
72  int 11                                                          1, 2, 7, 11
74  callsub test_swap_loop                                          1, 2, 7, 11
202 proto 2 1                                                       1, 2, 7, 11
205 int 1                                                           1, 2, 7, 11, 1
206 int 2                                                           1, 2, 7, 11, 1, 2
207 frame_dig -2                                                    1, 2, 7, 11, 1, 2, 7
209 int 0                                                           1, 2, 7, 11, 1, 2, 7, 0
210 >                                                               1, 2, 7, 11, 1, 2, 1
211 bz test_swap_loop_after_while@6                                 1, 2, 7, 11, 1, 2
214 frame_dig 0                                                     1, 2, 7, 11, 1, 2, 1
216 frame_dig -1                                                    1, 2, 7, 11, 1, 2, 1, 11
218 int 0                                                           1, 2, 7, 11, 1, 2, 1, 11, 0
219 >                                                               1, 2, 7, 11, 1, 2, 1, 1
220 bz test_swap_loop_after_while@5                                 1, 2, 7, 11, 1, 2, 1
223 frame_dig -1                                                    1, 2, 7, 11, 1, 2, 1, 11
225 int 1                                                           1, 2, 7, 11, 1, 2, 1, 11, 1
226 -                                                               1, 2, 7, 11, 1, 2, 1, 10
227 frame_bury -1                                                   1, 2, 7, 10, 1, 2, 1
229 frame_dig 1                                                     1, 2, 7, 10, 1, 2, 1, 2
231 frame_bury 0                                                    1, 2, 7, 10, 2, 2, 1
233 frame_bury 1                                                    1, 2, 7, 10, 2, 1
235 b test_swap_loop_while_top@3                                    1, 2, 7, 10, 2, 1
214 frame_dig 0                                                     1, 2, 7, 10, 2, 1, 2
216 frame_dig -1                                                    1, 2, 7, 10, 2, 1, 2, 10
218 int 0                                                           1, 2, 7, 10, 2, 1, 2, 10, 0
219 >                                                               1, 2, 7, 10, 2, 1, 2, 1
220 bz test_swap_loop_after_while@5                                 1, 2, 7, 10, 2, 1, 2
223 frame_dig -1                                                    1, 2, 7, 10, 2, 1, 2, 10
225 int 1                                                           1, 2, 7, 10, 2, 1, 2, 10, 1
226 -                                                               1, 2, 7, 10, 2, 1, 2, 9
227 frame_bury -1                                                   1, 2, 7, 9, 2, 1, 2
229 frame_dig 1                                                     1, 2, 7, 9, 2, 1, 2, 1
231 frame_bury 0                                                    1, 2, 7, 9, 1, 1, 2
233 frame_bury 1                                                    1, 2, 7, 9, 1, 2
235 b test_swap_loop_while_top@3                                    1, 2, 7, 9, 1, 2
214 frame_dig 0                                                     1, 2, 7, 9, 1, 2, 1
216 frame_dig -1                                                    1, 2, 7, 9, 1, 2, 1, 9
218 int 0                                                           1, 2, 7, 9, 1, 2, 1, 9, 0
219 >                                                               1, 2, 7, 9, 1, 2, 1, 1
220 bz test_swap_loop_after_while@5                                 1, 2, 7, 9, 1, 2, 1
223 frame_dig -1                                                    1, 2, 7, 9, 1, 2, 1, 9
