PC  Teal                                                            Stack
1   #pragma version 8
190 frame_bury 0                                                    1, 2, 2, 2, 0, 1
192 frame_dig 2                                                     1, 2, 2, 2, 0, 1, 0
194 int 0                                                           1, 2, 2, 2, 0, 1, 0, 0
195 >                                                               1, 2, 2, 2, 0, 1, 0
196 bz test_swap_after_while@3                                      1, 2, 2, 2, 0, 1
210 frame_bury 0                                                    1, 2, 1, 2, 0
212 retsub                                                          1, 1
48  dup                                                             1, 1, 1
49  bury 2                                                          1, 1
51  dup                                                             1, 1, 1
52  itob                                                            1, 1, 0x0000000000000001
53  log                                                             1, 1
54  int 1                                                           1, 1, 1
55  >=                                                              1, 1
56  bz main_bool_false@7                                            1
59  dup                                                             1, 1
60  int 2                                                           1, 1, 2
61  <=                                                              1, 1
62  bz main_bool_false@7                                            1
65  int 1                                                           1, 1
66  bury 1                                                          1
68  b main_bool_merge@8                                             1
74  dup                                                             1, 1
75  assert                                                          1
76  int 7                                                           1, 7
78  int 11                                                          1, 7, 11
80  callsub test_swap_loop                                          1, 7, 11
213 proto 2 1                                                       1, 7, 11
216 int 1                                                           1, 7, 11, 1
217 int 2                                                           1, 7, 11, 1, 2
218 frame_dig -2                                                    1, 7, 11, 1, 2, 7
220 frame_dig -1                                                    1, 7, 11, 1, 2, 7, 11
222 frame_dig 2                                                     1, 7, 11, 1, 2, 7, 11, 7
224 int 0                                                           1, 7, 11, 1, 2, 7, 11, 7, 0
225 >                                                               1, 7, 11, 1, 2, 7, 11, 1
226 bz test_swap_loop_after_while@6                                 1, 7, 11, 1, 2, 7, 11
229 frame_dig 0                                                     1, 7, 11, 1, 2, 7, 11, 1
231 frame_dig 3                                                     1, 7, 11, 1, 2, 7, 11, 1, 11
233 int 0                                                           1, 7, 11, 1, 2, 7, 11, 1, 11, 0
234 >                                                               1, 7, 11, 1, 2, 7, 11, 1, 1
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 1, 2, 7, 11, 1
238 frame_dig 3                                                     1, 7, 11, 1, 2, 7, 11, 1, 11
240 int 1                                                           1, 7, 11, 1, 2, 7, 11, 1, 11, 1
241 -                                                               1, 7, 11, 1, 2, 7, 11, 1, 10
242 frame_bury 3                                                    1, 7, 11, 1, 2, 7, 10, 1
244 frame_dig 1                                                     1, 7, 11, 1, 2, 7, 10, 1, 2
246 frame_bury 0                                                    1, 7, 11, 2, 2, 7, 10, 1
248 frame_bury 1                                                    1, 7, 11, 2, 1, 7, 10
